Gene_id	{KEGG}	{SwissProt}	{IPR}	{GO}
Belnapia_sp.F-4-1GL000001	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL000002	{K06199  crcB  CrcB protein  --  Unclassified; Poorly Characterized; Function unknown}	{CRCB_METSB Protein CrcB homolog OS=Methylocella silvestris (strain BL2 / DSM 15510 / NCIMB 13906) GN=crcB PE=3 SV=1}	{IPR003691; Camphor resistance CrcB protein}	{GO:0016020; membrane; Cellular Component}
Belnapia_sp.F-4-1GL000003	{K01687  ilvD  dihydroxy-acid dehydratase  4.2.1.9  Metabolism; Amino Acid Metabolism; Valine, leucine and isoleucine biosynthesis [PATH:ko00290] Metabolism; Metabolism of Cofactors and Vitamins; Pantothenate and CoA biosynthesis [PATH:ko00770]}	{ILVD_SPHAL Dihydroxy-acid dehydratase OS=Sphingopyxis alaskensis (strain DSM 13593 / LMG 18877 / RB2256) GN=ilvD PE=3 SV=1}	{IPR000581; Dihydroxy-acid/6-phosphogluconate dehydratase  IPR004404; Dihydroxy-acid dehydratase  IPR015928; Aconitase/3-isopropylmalate dehydratase, swivel  IPR020558; Dihydroxy-acid/6-phosphogluconate dehydratase, conserved site}	{GO:0003824; catalytic activity; Molecular Function  GO:0004160; dihydroxy-acid dehydratase activity; Molecular Function  GO:0008152; metabolic process; Biological Process  GO:0009082; branched chain family amino acid biosynthetic process; Biological Process}
Belnapia_sp.F-4-1GL000004	{K04091  ssuD  alkanesulfonate monooxygenase  1.14.14.5  Unclassified; Metabolism; Energy metabolism}	{YXEK_BACSU Putative monooxygenase yxeK OS=Bacillus subtilis (strain 168) GN=yxeK PE=3 SV=1}	{IPR011251; Luciferase-like domain  IPR016215; Nitrilotriacetate monooxygenase component A/pristinamycin IIA synthase subunit A}	{GO:0004497; monooxygenase activity; Molecular Function  GO:0016705; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL000005	{K02035  ABC.PE.S  peptide/nickel transport system substrate-binding protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{NA}	{IPR000914; Bacterial extracellular solute-binding protein, family 5}	{GO:0005215; transporter activity; Molecular Function  GO:0006810; transport; Biological Process}
Belnapia_sp.F-4-1GL000006	{NA}	{NA}	{IPR011719; Conserved hypothetical protein CHP02058  IPR018316; Tubulin/FtsZ, 2-layer sandwich domain}	{GO:0003924; GTPase activity; Molecular Function  GO:0005525; GTP binding; Molecular Function  GO:0006184; GTP catabolic process; Biological Process  GO:0043234; protein complex; Cellular Component  GO:0051258; protein polymerization; Biological Process}
Belnapia_sp.F-4-1GL000007	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL000008	{NA}	{NA}	{IPR011719; Conserved hypothetical protein CHP02058  IPR018316; Tubulin/FtsZ, 2-layer sandwich domain}	{GO:0003924; GTPase activity; Molecular Function  GO:0005525; GTP binding; Molecular Function  GO:0006184; GTP catabolic process; Biological Process  GO:0043234; protein complex; Cellular Component  GO:0051258; protein polymerization; Biological Process}
Belnapia_sp.F-4-1GL000009	{NA}	{NA}	{IPR002508; Cell wall hydrolase/autolysin, catalytic  IPR007709; N-formylglutamate amidohydrolase  IPR011227; Uncharacterised conserved protein UCP029730}	{GO:0008745; N-acetylmuramoyl-L-alanine amidase activity; Molecular Function  GO:0009253; peptidoglycan catabolic process; Biological Process}
Belnapia_sp.F-4-1GL000010	{NA}	{NA}	{IPR002931; Transglutaminase-like}	{NA}
Belnapia_sp.F-4-1GL000011	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL000012	{NA}	{NA}	{IPR002931; Transglutaminase-like  IPR013589; Bacterial transglutaminase-like, N-terminal}	{NA}
Belnapia_sp.F-4-1GL000013	{NA}	{NA}	{NA}	{NA}
